City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,-13.01,82,40,2.57,US,1730083742
1,hilton head island,32.2163,-80.7526,18.88,70,100,5.66,US,1730083743
2,margaret river,-33.95,115.0667,20.94,48,0,2.88,AU,1730083744
3,kristinestad,62.2743,21.376,8.06,76,2,5.69,FI,1730083746
4,borodulikha,50.7184,80.9295,8.58,77,100,6.86,KZ,1730083748
5,albany,42.6001,-73.9662,7.23,70,24,0.45,US,1730083448
6,blackmans bay,-43.0167,147.3167,15.96,46,69,3.58,AU,1730083750
7,al bardiyah,31.7561,25.0865,20.07,64,59,4.76,LY,1730083751
8,midvagur,62.0511,-7.1939,4.46,87,75,0.0,FO,1730083753
9,xining,36.6167,101.7667,8.01,44,3,1.7,CN,1730083754
10,kuching,1.55,110.3333,35.61,57,20,3.13,MY,1730083755
11,aripuana,-9.1667,-60.6333,22.42,99,100,1.26,BR,1730083756
12,tostedt,53.2833,9.7167,7.62,96,100,3.08,DE,1730083757
13,nyurba,63.2842,118.3319,-7.33,93,100,2.26,RU,1730083758
14,port-aux-francais,-49.35,70.2167,2.8,75,98,14.16,TF,1730083759
15,port alfred,-33.5906,26.891,18.08,48,93,7.93,ZA,1730083760
16,cedeira,43.6797,-8.0209,14.9,91,100,6.94,ES,1730083761
17,stanley,54.868,-1.6985,11.82,96,40,0.51,GB,1730083763
18,ivdel',60.6911,60.4206,-1.18,92,97,1.35,RU,1730083764
19,callao,-12.0667,-77.15,18.18,77,0,5.66,PE,1730083348
20,hamilton,39.1834,-84.5333,9.38,67,0,1.34,US,1730083702
21,aksu,41.1231,80.2644,12.68,31,100,1.88,CN,1730083767
22,vila franca do campo,37.7167,-25.4333,18.27,99,75,2.6,PT,1730083768
23,saynshand,44.8824,110.1163,7.41,48,100,5.12,MN,1730083771
24,east london,-33.0153,27.9116,16.99,45,0,5.57,ZA,1730083770
25,jamestown,42.097,-79.2353,6.8,65,0,1.54,US,1730083533
26,muisne,0.6,-80.0333,23.91,87,100,3.99,EC,1730083775
27,howard springs,-12.497,131.047,34.99,61,21,1.9,AU,1730083778
28,adamstown,-25.066,-130.1015,21.7,80,55,4.15,PN,1730083635
29,ribeira grande,38.5167,-28.7,17.65,83,15,2.24,PT,1730083780
30,lata,40.1629,-8.3327,7.67,87,18,2.8,PT,1730083781
31,grytviken,-54.2811,-36.5092,-2.36,83,22,1.21,GS,1730083782
32,invercargill,-46.4,168.35,11.68,72,82,6.71,NZ,1730083659
33,utrik,11.2278,169.8474,28.47,76,100,3.24,MH,1730083784
34,nyagan,62.1406,65.3936,-1.65,94,66,1.93,RU,1730083786
35,papatowai,-46.5619,169.4708,8.84,85,95,4.97,NZ,1730083787
36,sisimiut,66.9395,-53.6735,-8.59,60,100,3.11,GL,1730083788
37,axim,4.8699,-2.2405,25.06,91,12,3.14,GH,1730083789
38,edinburgh of the seven seas,-37.0676,-12.3116,15.98,91,100,17.26,SH,1730083790
39,lihue,21.9789,-159.3672,25.77,76,75,7.72,US,1730083791
40,al quwayrah,29.8004,35.3116,14.06,64,0,3.03,JO,1730083792
41,dubrovnik,42.6481,18.0922,13.8,94,20,1.03,HR,1730083793
42,mount gambier,-37.8333,140.7667,17.07,46,51,4.26,AU,1730083795
43,raduzhnyy,62.0961,77.475,0.07,97,100,0.81,RU,1730083797
44,chania,35.5122,24.0156,14.78,88,20,0.0,GR,1730083798
45,colonia,50.9333,6.95,14.98,92,100,1.54,DE,1730083677
46,west island,-12.1568,96.8225,28.99,74,20,5.66,CC,1730083800
47,atafu village,-8.5421,-172.5159,27.84,74,100,5.32,TK,1730083801
48,hermanus,-34.4187,19.2345,16.56,87,100,8.51,ZA,1730083803
49,tiksi,71.6872,128.8694,-14.78,94,100,2.21,RU,1730083804
50,faya-largeau,17.9257,19.1043,21.86,21,35,9.17,TD,1730083805
51,port isabel,26.0734,-97.2086,24.02,78,0,3.09,US,1730083806
52,bethel,41.3712,-73.414,6.3,57,100,0.45,US,1730083786
53,eyl,7.9803,49.8164,25.87,82,90,2.39,SO,1730083808
54,susuman,62.7833,148.1667,-14.14,86,100,1.33,RU,1730083809
55,yamada,39.4667,141.95,16.82,72,97,2.08,JP,1730083810
56,puerto baquerizo moreno,-0.9,-89.6,20.09,81,74,4.32,EC,1730083812
57,wailua homesteads,22.0669,-159.378,25.44,80,75,7.72,US,1730083813
58,nahiyat ash shinafiyah,31.5874,44.6602,17.24,28,0,4.33,IQ,1730083815
59,bilibino,68.0546,166.4372,-10.04,91,100,1.81,RU,1730083817
60,oranjemund,-28.55,16.4333,13.3,69,72,1.07,NA,1730083818
61,kodiak,57.79,-152.4072,3.73,75,0,0.0,US,1730083819
62,muli,2.9167,73.5667,28.21,69,66,6.7,MV,1730083820
63,hawaiian paradise park,19.5933,-154.9731,24.94,96,100,3.01,US,1730083821
64,nizhniy kuranakh,58.8353,125.4869,-3.74,90,99,0.64,RU,1730083822
65,thunder bay,48.4001,-89.3168,4.99,70,100,7.72,CA,1730083823
66,sinop,41.7711,34.8709,8.24,71,0,1.95,TR,1730083824
67,salaga,8.5508,-0.5188,25.31,76,9,1.14,GH,1730083826
68,arraial do cabo,-22.9661,-42.0278,22.28,72,100,3.87,BR,1730083827
69,crossett,33.1282,-91.9612,19.81,76,0,2.36,US,1730083828
70,waitangi,-43.9535,-176.5597,9.9,98,67,5.81,NZ,1730083829
71,olyokminsk,60.3736,120.4264,-2.03,88,98,2.28,RU,1730083830
72,twon-brass,4.3151,6.2418,26.67,83,95,3.97,NG,1730083832
73,erenhot,43.6475,111.9767,9.02,51,100,6.55,CN,1730083833
74,keflavik,64.0049,-22.5624,2.24,87,75,5.14,IS,1730083834
75,atlantic city,39.3643,-74.4229,10.55,78,14,0.89,US,1730083835
76,dapa,9.7594,126.0531,29.56,72,79,9.98,PH,1730083836
77,la passe,45.5549,-0.8967,12.53,89,0,1.62,FR,1730083837
78,maintirano,-18.0667,44.0167,25.02,81,0,1.39,MG,1730083838
79,vorgashor,67.5833,63.95,-1.19,88,100,2.82,RU,1730083839
80,kapuskasing,49.4169,-82.4331,-3.0,68,0,1.03,CA,1730083841
81,mao,39.8885,4.2658,20.31,88,75,5.66,ES,1730083842
82,vanimo,-2.6741,141.3028,30.73,62,40,4.59,PG,1730083843
83,lubuklinggau,-3.3,102.8667,34.07,36,1,0.78,ID,1730083844
84,belyy yar,53.6039,91.3903,3.94,87,0,0.0,RU,1730083845
85,carnarvon,-24.8667,113.6333,29.31,44,0,5.2,AU,1730083846
86,sweetwater,25.7634,-80.3731,25.01,70,75,3.6,US,1730083847
87,ushuaia,-54.8,-68.3,4.81,87,75,5.66,AR,1730083412
88,uturoa,-16.7333,-151.4333,25.25,72,22,5.54,PF,1730083850
89,puerto ayora,-0.7393,-90.3518,20.31,94,63,1.34,EC,1730083851
90,sake,-1.5736,29.045,16.44,95,91,0.22,CD,1730083852
91,saipan,15.1355,145.701,30.39,79,75,4.63,MP,1730083853
92,sosnogorsk,63.6023,53.8817,-0.17,85,49,1.31,RU,1730083854
93,portland,45.5234,-122.6762,11.36,93,53,1.79,US,1730083364
94,kapa'a,22.0752,-159.319,26.18,82,75,7.72,US,1730083856
95,happy valley-goose bay,53.3168,-60.3315,1.17,86,100,4.63,CA,1730083858
96,yellowknife,62.456,-114.3525,-0.33,100,100,2.57,CA,1730083859
97,ilulissat,69.2167,-51.1,-11.99,48,9,1.54,GL,1730083860
98,lazaro cardenas,17.9583,-102.2,26.68,79,0,1.27,MX,1730083861
99,fereydunshahr,32.941,50.121,0.77,59,1,2.64,IR,1730083862
100,ad darb,17.7229,42.2526,29.39,67,75,1.22,SA,1730083863
101,isabela,6.7085,121.9711,31.03,71,100,3.18,PH,1730083864
102,cookstown,54.6431,-6.746,13.17,95,100,4.42,GB,1730083865
103,thompson,55.7435,-97.8558,-1.91,69,100,3.09,CA,1730083867
104,remiremont,48.0175,6.5882,11.3,92,7,1.08,FR,1730083868
105,kerikeri,-35.2268,173.9474,18.52,41,14,4.84,NZ,1730083869
106,tazovsky,67.4667,78.7,-3.07,97,100,3.47,RU,1730083870
107,las tablas,7.7667,-80.2833,26.21,99,100,2.43,PA,1730083871
108,vishnyeva,54.7122,26.5225,7.79,84,99,3.11,BY,1730083872
109,qaqortoq,60.7167,-46.0333,0.26,99,100,3.07,GL,1730083873
110,kirillov,59.863,38.3813,1.27,90,4,2.92,RU,1730083874
111,battagram,34.6772,73.0233,21.36,34,71,0.69,PK,1730083876
112,elko,41.0002,-115.5012,14.01,19,100,2.24,US,1730083877
113,hammerfest,70.6634,23.6821,5.25,93,20,3.09,NO,1730083878
114,moka,36.4333,140.0167,18.84,83,98,1.81,JP,1730083879
115,griffith,41.5284,-87.4237,6.96,81,0,0.0,US,1730083846
116,ewo,-0.8725,14.8206,22.25,97,100,0.91,CG,1730083881
117,kirensk,57.7853,108.1119,0.13,93,98,2.01,RU,1730083882
118,pisco,-13.7,-76.2167,17.23,88,0,5.14,PE,1730083740
119,klaksvik,62.2266,-6.589,5.53,63,97,4.05,FO,1730083885
120,saudarkrokur,65.7461,-19.6394,-4.52,83,76,5.83,IS,1730083887
121,amga,60.8953,131.9608,-14.64,86,96,0.26,RU,1730083888
122,whitehorse,60.7161,-135.0538,-5.55,79,75,2.06,CA,1730083889
123,dryden,49.7833,-92.7503,4.16,81,100,6.69,CA,1730083891
124,klyuchi,52.2667,79.1667,7.22,69,100,5.77,RU,1730083892
125,quellon,-43.1167,-73.6167,7.91,91,27,1.92,CL,1730083893
126,adrar,20.5022,-10.0711,21.44,26,100,4.48,MR,1730083894
127,mount isa,-20.7333,139.5,37.87,12,4,5.14,AU,1730083895
128,kurchum,48.5722,83.6542,8.69,59,100,1.96,KZ,1730083897
129,avarua,-21.2078,-159.775,24.03,60,20,3.6,CK,1730083898
130,longyearbyen,78.2186,15.6401,-1.09,93,40,1.03,SJ,1730083899
131,nova sintra,14.8667,-24.7167,25.93,76,90,10.01,CV,1730083900
